"distance"	"TGL48_0001_Ct_T_PE_312_WG"	"TGL48_0001_Ct_T_PE_321_WG"	"TGL48_0001_Ct_T_PE_324_WG"	"TGL48_0001_Ct_T_PE_326_WG"	"TGL48_0001_Ct_T_PE_327_WG"	"TGL48_0002_Ct_T_PE_316_WG"	"TGL48_0002_Ct_T_PE_317_WG"	"TGL48_0002_Ct_T_PE_321_WG"	"TGL48_0002_Ct_T_PE_322_WG"	"TGL48_0002_Ct_T_PE_333_WG"	"TGL48_0003_Ct_T_PE_309_WG"	"TGL48_0003_Ct_T_PE_314_WG"	"TGL48_0003_Ct_T_PE_326_WG"	"TGL48_0003_Ct_T_PE_328_WG"	"TGL48_0004_Ct_T_PE_317_WG"	"TGL48_0004_Ct_T_PE_324_WG"	"TGL48_0004_Ct_T_PE_327_WG"	"TGL48_0004_Ct_T_PE_334_WG"	"TGL48_0005_Ct_T_PE_322_WG"	"TGL48_0005_Ct_T_PE_323_WG"	"TGL48_0005_Ct_T_PE_327_WG"	"TGL48_0005_Ct_T_PE_330_WG"	"TGL48_0006_Ct_T_PE_317_WG"	"TGL48_0006_Ct_T_PE_327_WG"	"TGL48_0006_Ct_T_PE_331_WG"	"TGL48_0006_Ct_T_PE_332_WG"	"TGL48_0006_Ct_T_PE_333_WG"	"TGL48_0007_Ct_T_PE_320_WG"	"TGL48_0007_Ct_T_PE_321_WG"	"TGL48_0007_Ct_T_PE_324_WG"	"TGL48_0007_Ct_T_PE_328_WG"	"TGL48_0008_Ct_T_PE_321_WG"	"TGL48_0009_Ct_T_PE_320_WG"	"TGL48_0009_Ct_T_PE_327_WG"	"TGL48_0009_Ct_T_PE_328_WG"	"TGL48_0009_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_328_WG"	"TGL48_0010_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_330_WG"	"TGL48_0010_Ct_T_PE_333_WG"	"TGL48_0010_Ct_T_PE_335_WG"	"TGL48_0011_Ct_T_PE_315_WG"	"TGL48_0011_Ct_T_PE_319_WG"	"TGL48_0011_Ct_T_PE_322_WG"	"TGL48_0011_Ct_T_PE_324_WG"	"TGL48_0011_Ct_T_PE_325_WG"
15	0.83163	0.81799	0.81803	0.78527	0.79065	0.87433	0.82573	0.82283	0.86476	0.83436	0.78502	0.84649	0.75967	0.76642	0.85755	0.821	0.77581	0.79998	0.77046	0.82327	0.77983	0.77081	0.9007	0.85114	0.82287	0.79077	0.78883	0.82693	0.79035	0.85703	0.75781	0.80558	0.82717	0.74064	0.74273	0.7268	0.79785	0.78547	0.80441	0.81714	0.77945	0.82104	0.81832	0.8731	0.85043	0.83139
30	0.82873	0.80949	0.80933	0.79838	0.78539	0.86164	0.82149	0.81562	0.86244	0.82529	0.78847	0.82658	0.76297	0.76895	0.84409	0.83053	0.77932	0.79763	0.76444	0.81697	0.7772	0.76284	0.89201	0.83649	0.82115	0.78454	0.79833	0.82642	0.78775	0.85729	0.7419	0.79073	0.82167	0.74613	0.748	0.72659	0.79746	0.78256	0.79757	0.81002	0.7738	0.81581	0.8206	0.85724	0.84289	0.82389
45	0.81886	0.80538	0.81181	0.80529	0.80021	0.83769	0.82003	0.81869	0.85718	0.82334	0.79481	0.80954	0.75996	0.76743	0.82807	0.82369	0.78951	0.79209	0.76004	0.80305	0.76712	0.75105	0.88771	0.81788	0.81611	0.7853	0.79469	0.82304	0.77613	0.85069	0.7353	0.7798	0.81021	0.75721	0.74853	0.72615	0.78964	0.77688	0.78875	0.80718	0.76505	0.79966	0.80856	0.84668	0.82051	0.80592
60	0.82907	0.81147	0.82056	0.81633	0.81026	0.84489	0.82741	0.81692	0.8565	0.83576	0.80828	0.81755	0.76549	0.78332	0.82924	0.82786	0.8032	0.80205	0.76113	0.80394	0.77208	0.75823	0.89413	0.81307	0.8192	0.79055	0.8081	0.8267	0.77719	0.86066	0.74259	0.78161	0.81557	0.7745	0.75554	0.7292	0.79575	0.79044	0.79836	0.81204	0.76323	0.79665	0.82483	0.85148	0.81942	0.7984
75	0.85687	0.84215	0.83829	0.83872	0.82769	0.85942	0.85127	0.83896	0.8766	0.85897	0.83274	0.83242	0.77678	0.80076	0.83951	0.84403	0.82665	0.82761	0.78475	0.8221	0.79954	0.777	0.92328	0.82047	0.83251	0.81795	0.83841	0.8479	0.80471	0.88472	0.76732	0.79416	0.83786	0.80382	0.78359	0.75429	0.82467	0.82147	0.81726	0.83226	0.79724	0.81799	0.833	0.86819	0.82951	0.8106
90	0.88734	0.88001	0.85891	0.86186	0.86754	0.88631	0.88543	0.8729	0.89546	0.89421	0.86262	0.8634	0.8117	0.83603	0.86824	0.86846	0.8634	0.86044	0.82259	0.85831	0.83723	0.8119	0.95854	0.8506	0.86382	0.85784	0.86945	0.87887	0.84251	0.92028	0.80528	0.82479	0.86948	0.84234	0.81412	0.78616	0.85784	0.85696	0.84942	0.86461	0.83154	0.85886	0.85873	0.8917	0.86547	0.84494
105	0.91859	0.91571	0.88863	0.89242	0.90101	0.9036	0.91601	0.89832	0.91814	0.93087	0.89615	0.88843	0.8512	0.86994	0.89386	0.89457	0.8939	0.88551	0.85696	0.89177	0.87274	0.85848	0.98809	0.8854	0.8996	0.89153	0.89964	0.9151	0.87909	0.95508	0.82966	0.86497	0.90211	0.86587	0.85199	0.82638	0.88699	0.89869	0.88105	0.89839	0.87137	0.90432	0.89635	0.91722	0.90316	0.87372
120	0.9423	0.94175	0.91972	0.9051	0.92214	0.92047	0.93878	0.91746	0.93487	0.96726	0.91928	0.91955	0.88638	0.89388	0.9193	0.92082	0.92436	0.90047	0.88883	0.92839	0.9042	0.87731	1.01099	0.91641	0.90959	0.92026	0.91901	0.93115	0.90936	0.98207	0.86118	0.89908	0.94795	0.89428	0.87461	0.85745	0.90902	0.93668	0.89804	0.9251	0.89531	0.94978	0.9113	0.94012	0.93132	0.90804
135	0.95749	0.95621	0.9435	0.91609	0.93871	0.93549	0.95067	0.92967	0.94699	0.98826	0.92924	0.93947	0.91407	0.90491	0.93057	0.93591	0.94447	0.92105	0.9041	0.94627	0.92204	0.89751	1.02399	0.93731	0.91451	0.93366	0.91766	0.94011	0.93792	0.99039	0.89107	0.91554	0.97105	0.90817	0.88338	0.8818	0.92149	0.94766	0.90839	0.94193	0.91111	0.96059	0.93093	0.95844	0.94961	0.92455
150	0.95857	0.93702	0.93799	0.91383	0.94282	0.93214	0.9534	0.92688	0.9383	0.98572	0.9222	0.94921	0.90476	0.89869	0.92348	0.93275	0.94187	0.91979	0.90643	0.93619	0.91844	0.8928	1.01809	0.93573	0.90664	0.9229	0.91463	0.93379	0.93958	0.98819	0.89745	0.92057	0.97444	0.90772	0.88059	0.87847	0.92971	0.94749	0.90318	0.93928	0.90819	0.96741	0.92304	0.96334	0.94932	0.92829
