"chr"	"start"	"end"	"TGL48_0001_Ct_T_PE_312_WG"	"TGL48_0001_Ct_T_PE_321_WG"	"TGL48_0001_Ct_T_PE_324_WG"	"TGL48_0001_Ct_T_PE_326_WG"	"TGL48_0001_Ct_T_PE_327_WG"	"TGL48_0002_Ct_T_PE_316_WG"	"TGL48_0002_Ct_T_PE_317_WG"	"TGL48_0002_Ct_T_PE_321_WG"	"TGL48_0002_Ct_T_PE_322_WG"	"TGL48_0002_Ct_T_PE_333_WG"	"TGL48_0003_Ct_T_PE_309_WG"	"TGL48_0003_Ct_T_PE_314_WG"	"TGL48_0003_Ct_T_PE_326_WG"	"TGL48_0003_Ct_T_PE_328_WG"	"TGL48_0004_Ct_T_PE_317_WG"	"TGL48_0004_Ct_T_PE_324_WG"	"TGL48_0004_Ct_T_PE_327_WG"	"TGL48_0004_Ct_T_PE_334_WG"	"TGL48_0005_Ct_T_PE_322_WG"	"TGL48_0005_Ct_T_PE_323_WG"	"TGL48_0005_Ct_T_PE_327_WG"	"TGL48_0005_Ct_T_PE_330_WG"	"TGL48_0006_Ct_T_PE_317_WG"	"TGL48_0006_Ct_T_PE_327_WG"	"TGL48_0006_Ct_T_PE_331_WG"	"TGL48_0006_Ct_T_PE_332_WG"	"TGL48_0006_Ct_T_PE_333_WG"	"TGL48_0007_Ct_T_PE_320_WG"	"TGL48_0007_Ct_T_PE_321_WG"	"TGL48_0007_Ct_T_PE_324_WG"	"TGL48_0007_Ct_T_PE_328_WG"	"TGL48_0008_Ct_T_PE_321_WG"	"TGL48_0009_Ct_T_PE_320_WG"	"TGL48_0009_Ct_T_PE_327_WG"	"TGL48_0009_Ct_T_PE_328_WG"	"TGL48_0009_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_328_WG"	"TGL48_0010_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_330_WG"	"TGL48_0010_Ct_T_PE_333_WG"	"TGL48_0010_Ct_T_PE_335_WG"	"TGL48_0011_Ct_T_PE_315_WG"	"TGL48_0011_Ct_T_PE_319_WG"	"TGL48_0011_Ct_T_PE_322_WG"	"TGL48_0011_Ct_T_PE_324_WG"	"TGL48_0011_Ct_T_PE_325_WG"
"1"	34000001	35000000	-0.0859286449641685	-0.0294614858902007	-0.0376254885502517	-0.00447642103180093	-0.0389923896824705	-0.0362109282418983	-0.0522457161070334	-0.026937756536924	-0.104960333751889	-0.0307698210652721	-0.0445720752661295	-0.100204116082211	-0.0432911527583863	-0.0150497846376101	-0.0606206376106976	-0.0196763626932214	-0.00613073767244147	0.00255795290438096	-0.0528843833863321	-0.0208798019023181	-0.0618451735584419	-0.0157639487033402	-0.0458088141175068	-0.0686953544032226	0.0457783402419984	-0.0110765370756162	-0.0048306557617145	-0.0177851144119521	0.021257014095416	-0.0379472003178999	0.00473840087864635	-0.111689700875498	-0.0334432526019672	-0.0832560728967512	-0.0316445314530812	-0.0138815971148437	-0.0147245057971902	-0.0939102565874074	-0.0391879508248982	-0.0508208162010725	0.0119843900684308	0.0243860281787316	-0.0364830041372002	-0.0326894565411564	0.0101607062487383	0.042985612325941
"1"	36000001	37000000	0.0824264466989745	-0.0375126220728044	-0.024387698940039	0.097952955763923	0.0392615279431651	0.130330452381354	0.0432273771872237	0.0674842421074237	-0.00272643678315665	0.010904686341142	0.0399202932880488	0.0511057049514979	0.0097369762160472	0.054146150335581	0.0176795368473527	0.022591716018162	0.0701019888294001	-0.0163462307312322	-0.0133963154419476	0.0636124430280749	0.015414680279815	0.0946895212627703	-0.00548152782663619	0.0738510591169539	0.100682462448803	0.122446747375558	0.0304729212867925	0.0467176069819171	0.0743546402376754	0.0805713083072417	0.0655106102295506	0.0296615596110113	0.0341813212081692	0.0322354223462648	0.0313274357953243	-0.0282212517185717	0.066961789636396	-0.00489551203832283	0.0368093559594889	0.0242524808155707	0.0927552031198747	0.0195199092472881	0.0525675769330451	0.0269650067119254	0.041984951313602	0.0835599670678637
"1"	38000001	39000000	-0.0354982946484272	-0.0556535068675648	-0.0116721150615324	-0.0738472028091296	7.55174269444908e-05	-0.0414906153547437	-0.0167910905581973	-0.0358314564108173	-0.065678389439808	-0.0340372254948923	0.0196743846333769	-0.0794612811985197	-0.0520378148654717	-0.19585356177847	0.0292618545316663	-0.0659405204004548	-0.001411269484522	-0.0974456844232321	-0.0535313830269525	-0.0444938156666878	-0.0184883863144495	-0.0408801244283608	-0.10685865644785	-0.0418055472514574	-0.0448644044598163	-0.0236649203842871	-0.033671934484423	-0.0177584514300877	0.0449154330206562	0.0245196188783032	-0.0240732780045819	-0.00716572658600577	-0.0125767363958117	-0.110988562521377	-0.00373852981180163	-0.0611014709728065	-0.00264844357416001	0.0170476315116288	-0.0992789897420467	-0.00431749928826672	0.0525647914922356	0.0663287587586684	0.0772887888765875	0.0979610168314827	0.0132975412872976	0.0205766802978944
"1"	41000001	42000000	-0.290530324017091	-0.215327181711964	-0.384030996686266	-0.176422992702361	-0.173569183802167	-0.178043257437427	-0.235414606786307	-0.263382326218776	-0.25297162767007	-0.272862277052251	-0.224776529305719	-0.272536640884863	-0.217431793340405	-0.413609444248217	-0.253788215903286	-0.188448793636929	-0.259731215806063	-0.265442955900185	-0.290137926283768	-0.300882507140508	-0.269644930064575	-0.199004134035319	-0.225274933791297	-0.279680458362096	-0.201156947749616	-0.239033604328471	-0.231702808952742	-0.268908549104543	-0.264783309627948	-0.287675224933281	-0.24722590699206	-0.175712974300022	-0.23727176649801	-0.216683245668703	-0.240983254868967	-0.250809747032121	-0.241589479443447	-0.204433309370133	-0.204704115152941	-0.215069765462195	-0.291181696609826	-0.165022320157568	-0.289880415912994	-0.205479272869249	-0.276842931523548	-0.306090721636913
"1"	43000001	44000000	0.0481531789821763	-0.0690295357581861	0.0506253866318255	0.0993837939984176	0.0495144049442149	-0.0519096717947797	-0.00163818312065335	-0.0303382409602202	0.0124950993873372	-0.00279575534247698	-0.0227020767800156	0.041332863321514	0.0657463116442043	-0.0672546479372162	0.0134139203049278	0.0744709856942799	0.0277695598109631	-0.009210295792435	0.0323772792748943	0.0183284482713273	0.0364814304264441	-0.0927871865477513	-0.0119453700788536	0.057730936993692	-0.0388915836480963	0.0716273616466377	0.0218516281496513	0.0734569037673688	0.0219118050200639	0.0245774264718802	0.130660931389965	0.0307199883797282	-0.00318834204144743	0.0621787891985768	0.0402684514144453	0.00202661921158121	0.0687635850548824	0.0260741559155539	-0.0620262508581517	0.0203295371742595	-0.0947184396066227	0.0716586113904662	0.0694614254126151	-0.0606296957542054	0.0963620390925723	0.0121085985575
"1"	48000001	49000000	-0.0165148433114644	-0.0774497969530734	-0.0376492205503389	-0.00692927787350188	-0.157485932475877	-0.132484141528849	0.0136956952040059	-0.0414169661043095	0.00106090317766317	-0.0467244490320352	-0.0369119957546211	-0.0393673851474432	0.0843517149816445	-0.037609970979586	-0.0223789467281158	-0.0122070899066894	-0.0368063894525027	-0.0304710050586192	0.00334566816672014	-0.0108065456206104	-0.0338715147768232	-0.0560569074814318	-0.0249038155061115	0.036480103964139	-0.0739350378096735	0.0895103591670651	0.0146349614262886	-0.0254677686590721	-0.0669386218307223	-0.0263347958992935	-0.0013898724902647	-0.0179567363477131	-0.0309786914292376	-0.0617709043049311	-0.0130802715533881	-0.0391640766011889	0.00430995250732433	-0.0374344791421784	-0.117226979138174	-0.0438177932293517	-0.220361008799761	-0.102658075747226	-0.00942919353505565	0.0733984393745795	0.00217616019677397	-0.0211582866237754
"1"	53000001	54000000	-0.0423558726720387	0.0719963676599312	0.0178277190135677	-0.111559902048263	0.0807539799979062	-0.0661544036361468	-0.0235279787224644	-0.032848423514322	-0.0302493594566087	0.0392217280081342	0.0306622053991781	-0.0322178741048189	0.0581712904726648	0.015441595981759	0.0308589454026673	0.000373156775442732	0.0334100218743816	0.0243010945590487	0.0707623108965138	0.0319502090547534	0.0319615069195044	-0.00800870499130539	0.0296115743688307	-0.039862240510876	0.0361216036520887	0.0723052392662944	-0.0132316877349681	0.0072261405904435	-0.0268146019978184	0.00374105858756638	0.0386808508943593	0.0937814771844307	0.0386859990059873	-0.0328318080621871	-0.0875949942594666	0.0113315948940578	-0.00915956080845445	-0.0820109103229985	0.0171109937554556	0.01568910807261	0.0956052751674662	0.0307375826619957	0.0288879819036409	0.00138400357975705	0.0309179797229783	0.0367905092055026
"1"	55000001	56000000	0.0176577729663375	-0.0370233674746559	0.0348354946077982	0.0225911470893063	-0.00459839089694551	0.000756891902216707	-0.000526119553502288	-0.000301249263479551	-0.0572752298683791	-0.0136838675534885	0.0334084675880373	0.00745080763076364	0.120670916193527	0.0279731111184704	0.000816619874940989	0.0049600373618151	-0.029226780468413	0.020464733932139	0.0330361942991886	0.0217310096671894	0.0302080743166754	0.00940542506531867	-0.00171999719626743	-0.0380195701890032	0.0278654377831408	0.0560367519433139	-0.098462715277891	0.049377659516401	0.00167468412552753	0.00941922845342552	0.0295445051453957	0.00948594068933024	0.116665680573502	0.0112057087344251	0.00885656582492663	-0.010708256455233	0.0059665636007957	-0.0546806425910464	0.0193741232605625	0.014550875923053	0.00525062756081255	0.0473267892099103	-0.0255887438733958	-0.0485766119954289	-0.0431607099496773	0.000821106263732004
"1"	56000001	57000000	-0.0374242796997657	-0.0589288952141341	-0.060513703159783	-0.170464837338321	0.00680752534982758	-0.0127233731342446	-0.070374373541688	-0.0335374587319429	-0.138314908582242	-0.0109557597244562	-0.0769355853024951	-0.0871105117335944	-0.0165447816042099	-0.0127294087810033	-0.061411223675575	0.0540558129086366	0.00184447852910818	-0.0484298248275419	-0.0654269299562167	-0.0486871943941183	-0.044943252323727	-0.00630664413922338	-0.071866280615637	-0.145814033882243	-0.126274197973847	-0.0137601835180539	-0.00180587780833542	-0.0841564082655763	-0.0566107119854235	-0.115221286517691	-0.0268750316529073	-0.0950259797843147	-0.109232697134624	-0.0682621427681592	0.00519302056258893	-0.0058801523175436	-0.00909692880865225	-0.165547289452849	-0.027107401484932	0.016025775373018	-0.061970497702851	-0.149185017867744	-0.107827317444814	-0.00221668905472824	-0.013856143346964	-0.07805369268037
"1"	57000001	58000000	-0.0892125993233269	-0.0622541170874431	-0.083565279250426	-0.0632304222568976	-0.140954641555684	-0.0544533487346593	-0.0697673791270572	-0.0648858078267804	-0.0380689314666675	-0.046172780487715	-0.0301554090660111	-0.0267722752459535	-0.00764855653280822	-0.0761774048517364	-0.0248013427418257	-0.0417676683995624	-0.0288536693864085	-0.046300834937548	-0.00217891928765794	-0.10314178696718	-0.0328412910159954	-0.02530866539953	-0.0840972625971677	-0.0031297017261956	-0.0610623677673138	-0.0404597941413445	-0.0128094008655361	-0.0699824398662114	-0.00529292397791232	-0.0490801946356542	0.00129967211666088	-0.094203887971728	-0.0410911276937571	-0.0257349046859186	-0.0559953527070332	-0.104453002769377	-0.085544870547445	-0.0195566089385722	-0.0944107224882146	-0.0541429681826817	-0.143654138243847	-0.127088011998976	-0.0681583518438565	-0.102793875548557	-0.0529804884876221	-0.0423665040352396
