"length"	"TGL48_0001_Ct_T_PE_312_WG"	"TGL48_0001_Ct_T_PE_321_WG"	"TGL48_0001_Ct_T_PE_324_WG"	"TGL48_0001_Ct_T_PE_326_WG"	"TGL48_0001_Ct_T_PE_327_WG"	"TGL48_0002_Ct_T_PE_316_WG"	"TGL48_0002_Ct_T_PE_317_WG"	"TGL48_0002_Ct_T_PE_321_WG"	"TGL48_0002_Ct_T_PE_322_WG"	"TGL48_0002_Ct_T_PE_333_WG"	"TGL48_0003_Ct_T_PE_309_WG"	"TGL48_0003_Ct_T_PE_314_WG"	"TGL48_0003_Ct_T_PE_326_WG"	"TGL48_0003_Ct_T_PE_328_WG"	"TGL48_0004_Ct_T_PE_317_WG"	"TGL48_0004_Ct_T_PE_324_WG"	"TGL48_0004_Ct_T_PE_327_WG"	"TGL48_0004_Ct_T_PE_334_WG"	"TGL48_0005_Ct_T_PE_322_WG"	"TGL48_0005_Ct_T_PE_323_WG"	"TGL48_0005_Ct_T_PE_327_WG"	"TGL48_0005_Ct_T_PE_330_WG"	"TGL48_0006_Ct_T_PE_317_WG"	"TGL48_0006_Ct_T_PE_327_WG"	"TGL48_0006_Ct_T_PE_331_WG"	"TGL48_0006_Ct_T_PE_332_WG"	"TGL48_0006_Ct_T_PE_333_WG"	"TGL48_0007_Ct_T_PE_320_WG"	"TGL48_0007_Ct_T_PE_321_WG"	"TGL48_0007_Ct_T_PE_324_WG"	"TGL48_0007_Ct_T_PE_328_WG"	"TGL48_0008_Ct_T_PE_321_WG"	"TGL48_0009_Ct_T_PE_320_WG"	"TGL48_0009_Ct_T_PE_327_WG"	"TGL48_0009_Ct_T_PE_328_WG"	"TGL48_0009_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_328_WG"	"TGL48_0010_Ct_T_PE_329_WG"	"TGL48_0010_Ct_T_PE_330_WG"	"TGL48_0010_Ct_T_PE_333_WG"	"TGL48_0010_Ct_T_PE_335_WG"	"TGL48_0011_Ct_T_PE_315_WG"	"TGL48_0011_Ct_T_PE_319_WG"	"TGL48_0011_Ct_T_PE_322_WG"	"TGL48_0011_Ct_T_PE_324_WG"	"TGL48_0011_Ct_T_PE_325_WG"
"125"	0.187299203020501	0.195578119796188	0.146833357132633	0.12797470874025	0.149400007655405	0.170131389502393	0.213697174870798	0.188618741801845	0.137665814716774	0.184411626380805	0.209805277884436	0.221979055681938	0.203137865186338	0.185791754755679	0.185510711261847	0.233687605703224	0.237581722108042	0.239036241180031	0.206977203675918	0.249154148503145	0.220830190292754	0.25658358147827	0.230849456618088	0.216063730691055	0.226216395458445	0.218111917996701	0.278712532215094	0.203568808926048	0.22974248141974	0.188936413991558	0.216912075176292	0.164136883564464	0.252937907367282	0.268502902031468	0.224274023451149	0.197797026552808	0.191391797466605	0.172517170437912	0.172271945267068	0.157597044774813	0.14553867882384	0.222524322727492	0.178159405704408	0.225739268205441	0.198524975933131	0.23471160209434
"126"	0.166941150883907	0.17778330561713	0.129074875362629	0.110561660829062	0.133076451975094	0.15522255476788	0.192551519443815	0.171805628801302	0.123995373301932	0.168274866127722	0.18342831914658	0.193394188959599	0.177486261177753	0.159758761816217	0.159551675749805	0.201882575593678	0.212439817179159	0.216312977303188	0.18244887785633	0.231868610519199	0.194689519977072	0.225815148569048	0.205702897409944	0.196804548509091	0.205076043546565	0.200596961783334	0.254357731037602	0.181205982503325	0.200191404224767	0.168845359139624	0.188971719261852	0.142905097371706	0.226398801942194	0.241927171461122	0.20181047406995	0.174073716062177	0.170159734797749	0.153045594582525	0.154358757055438	0.141718687832006	0.129299659302544	0.200233728330886	0.161762644286366	0.204848816605713	0.177998455980973	0.208371735624966
"127"	0.164924741261893	0.173475087447463	0.124343230315235	0.106366566558675	0.130205675206696	0.153586096813857	0.188212130481364	0.16545198077051	0.122005105458685	0.168567798634289	0.175798455268145	0.183955487724889	0.168719874248651	0.15267693897889	0.152911940393348	0.192523313498596	0.205916895687623	0.20862335568707	0.173993920368074	0.227834356412095	0.187220278324251	0.214483897012777	0.195750404768995	0.190738222076275	0.205094331048219	0.197569311616806	0.251715355217836	0.176755780045203	0.193557163472955	0.163937193819647	0.181744425269521	0.139990046755008	0.224215803747397	0.235163518048419	0.195524033011778	0.170351069024899	0.16693287321186	0.151154393871943	0.148652320962264	0.139501398518585	0.12850655438395	0.195184585789775	0.159265840141628	0.197265378690131	0.173924313983159	0.198614449323355
"128"	0.169166154604749	0.176000077922555	0.128143782419492	0.107846042960296	0.133961608145351	0.157089923966951	0.195362772917261	0.170486790633031	0.126635008195729	0.176056681845665	0.177428290065214	0.188415674003257	0.171094249103952	0.158154079113377	0.152460554875695	0.192176456423464	0.209836107094253	0.212976598693602	0.175067812805607	0.23494480141918	0.190085330640609	0.215684512381435	0.199179809197323	0.195084351777564	0.211494956627075	0.202080510364933	0.256736644165661	0.183181365503998	0.194386443566931	0.169454687180487	0.18590983341994	0.146548910642579	0.236160175983967	0.239642215048604	0.200946088424451	0.173833913645665	0.168649288949035	0.15594968556132	0.155559754901445	0.142795264254845	0.129896451122475	0.195683628947908	0.16257329498271	0.198537284416479	0.177357903910495	0.201113852710959
"129"	0.181484185072443	0.190453213312619	0.135567132520681	0.11687863572809	0.143060375625191	0.165784234323912	0.207907024368151	0.18306137341982	0.13420392933689	0.189157982066927	0.190526888838716	0.200279641521327	0.17922004223045	0.165607233485246	0.15894594550676	0.200700909964839	0.218340468335938	0.221231144974689	0.184001352793198	0.244023316026441	0.200590522467254	0.225296539563651	0.210507673509002	0.207778701535125	0.219358582338242	0.214440892169785	0.268088786617149	0.193915522186906	0.209704203764326	0.178963558717254	0.198255813049851	0.157675688898586	0.249323240979692	0.252777293827151	0.21275412021205	0.184231061275855	0.180589821093983	0.16758021577396	0.167997207171111	0.155283550759777	0.139719958579507	0.211447521648933	0.175392384660889	0.211808300768747	0.187670215171251	0.211808415282922
"130"	0.206577689207016	0.216384940417343	0.156635226479471	0.132091935831604	0.162765068388282	0.182771270263842	0.23513298260582	0.204245729908911	0.152221756655095	0.214239797266931	0.213036984626663	0.223105300710622	0.203263198756412	0.188822085314348	0.178107988772324	0.222223685423443	0.241812068682051	0.244665549312141	0.206619239530074	0.267957581809219	0.22271006672489	0.248669465971257	0.232791582494342	0.227311710951903	0.239081652871947	0.232841436056861	0.293032504399633	0.220258931712873	0.236424565253898	0.206880845286691	0.223854422093656	0.177742957448075	0.275217504119596	0.278760121535965	0.237135034115992	0.210443749233132	0.206255957750541	0.191025438066187	0.187979911445068	0.174038886398511	0.156767788067289	0.236018058317009	0.198036560778752	0.232482768377208	0.210395386824779	0.234583427561642
"131"	0.252519624587711	0.25129274642165	0.190256146208001	0.162323868091052	0.198298905277126	0.221443883999427	0.281950669465196	0.239472809787206	0.182995008180549	0.257606544434847	0.255364753032891	0.264398818722544	0.244811277236116	0.22811028785289	0.214568289940236	0.263193972823337	0.281484531778691	0.278361644034455	0.244115983807258	0.305518276700543	0.26399697852588	0.290065831374637	0.272962542997963	0.261076715367894	0.271295087035249	0.268991579045209	0.335047054824184	0.27229722879855	0.288621368092077	0.25068538224266	0.270663455226784	0.216915828364224	0.329674139304155	0.328677981685687	0.280616251435011	0.251655507385087	0.250327792495407	0.234062649742191	0.227884252305899	0.20964378834874	0.191452386338838	0.276186139966732	0.236558681868997	0.275163604873607	0.250155781109392	0.274854263553596
"132"	0.319708881684219	0.310626276309633	0.241576296337427	0.209209643266119	0.252237611003368	0.273740261192745	0.358566998360188	0.296249207660277	0.231731270325136	0.319517192888074	0.321221263975234	0.328255632025033	0.30272234958666	0.28869700626549	0.269410174252865	0.326727606907229	0.342008509601413	0.332115887449461	0.304993234088552	0.365322198099422	0.329906585555639	0.362855802186896	0.332825504718987	0.312851126381309	0.320945654025523	0.320287541991616	0.395310271100785	0.344655880827007	0.36762624473746	0.323614681518767	0.344164258000407	0.284014583667663	0.402990932334273	0.406339134963847	0.349824728784597	0.3175098186243	0.316009301371307	0.2987176313384	0.291014670154763	0.268113341049561	0.244504038121177	0.343527610834794	0.296730580889591	0.342910583467553	0.310621588266748	0.342586493176028
"133"	0.405997307233161	0.387320052283037	0.308801206831886	0.26385293615232	0.321168150964581	0.341236622081721	0.442392000152685	0.363949566964879	0.293547640202247	0.400701951193708	0.403763608121882	0.412660017981526	0.388520141278785	0.373241239576276	0.340743646865326	0.412148510325288	0.420239899406179	0.403980951006144	0.380690978190723	0.439577868116597	0.40808062706244	0.450038948957152	0.406850101779309	0.380683047292702	0.380233734387388	0.386116225737358	0.472435099646627	0.433227582011939	0.468949919296694	0.410211935472943	0.443678138290514	0.364050754336964	0.498096295422483	0.500925384543114	0.43248618999867	0.401297924869789	0.403111678647153	0.383913744248041	0.367668188043693	0.343753142400596	0.311501772432443	0.424010551533692	0.376574270141454	0.425416468131382	0.396328609444554	0.42327236150922
"134"	0.471543428358192	0.443334381042042	0.363278608486675	0.31348352938829	0.375441780647137	0.395661398577205	0.510832481790041	0.414505030081952	0.340057501030659	0.469082587183294	0.466252592755576	0.469624979602807	0.447677586353959	0.431686170745003	0.394732266941358	0.472660372602101	0.479164533298341	0.46188905225181	0.441988447251921	0.496317141545701	0.467985352512183	0.522004828747137	0.460229684181092	0.431460446322946	0.43141130776576	0.439857016193236	0.534527056959782	0.503812116477527	0.541607613684334	0.478674692504561	0.52065011452282	0.431006762316389	0.570383707190015	0.574974391157173	0.498425717998007	0.466672631275979	0.471276268956167	0.452875280271341	0.430466126262871	0.398983803480365	0.365385791753107	0.486635575299399	0.430358241674861	0.486107969677288	0.450902491701388	0.486502460670646
"135"	0.478009845421892	0.45492536105678	0.370693494106563	0.320501308898613	0.380824487087884	0.404586620179213	0.522167765290769	0.420568367824131	0.348629989431762	0.479959298514102	0.473958355803482	0.47505143292283	0.452147817019951	0.438098270636104	0.394796334563218	0.471308217902434	0.48496147273266	0.46491306075253	0.445396888466699	0.501332544720342	0.474851425256297	0.528086052152885	0.462633877180321	0.438425487782847	0.440079583549697	0.447002270586242	0.545313529514369	0.510841498249736	0.546224471130607	0.487926416427752	0.528763334875501	0.433861708796661	0.580973319029272	0.578896671625767	0.509573673474498	0.474352018185702	0.481757847724516	0.45927136357342	0.441980777927695	0.409964882993322	0.378389571408458	0.489355849769222	0.442647706231429	0.493259439610336	0.456805958080657	0.487720118731274
"136"	0.46095636295622	0.431758386133981	0.355101919549676	0.300100107992044	0.369891612228233	0.394195614152129	0.504297607030094	0.40397091389513	0.331662112734252	0.470568476709361	0.445783785157094	0.448770249213708	0.429483329764808	0.414764062242327	0.371210713224646	0.437280950938654	0.459961489108195	0.442076811942693	0.420179870757823	0.483013914482932	0.444284165338383	0.498937384356408	0.439537740830377	0.417726957315319	0.428028119959793	0.432015402261927	0.522322535211595	0.492675428919011	0.517215615535542	0.467360197507256	0.509070901567364	0.419308994764329	0.558013384086168	0.553721103966885	0.486942485665081	0.451810591033594	0.454312360087086	0.437334851960421	0.41728907644962	0.394847001310904	0.358349930297071	0.469257131204415	0.422835403212792	0.465577491396338	0.436971926853339	0.461588535877534
"137"	0.452846809921043	0.4165634879634	0.345249263315031	0.293384063800473	0.355776959783607	0.384808570060028	0.497811090988153	0.394622922601784	0.328647194285266	0.473629409133058	0.423541333808862	0.42438320487101	0.408900772368126	0.391927172868025	0.348125984202439	0.410766960958238	0.435425478978944	0.42302223530189	0.398737040238827	0.467096213728434	0.419942948933676	0.46743721545327	0.421163352893333	0.405924301373693	0.417366506495583	0.416438142155139	0.502322617349964	0.475545503879205	0.496866357844886	0.456353161613138	0.479115192704526	0.401503144347897	0.540525734590725	0.532650248426299	0.469183289675746	0.439123901283851	0.43876163350828	0.424011449201605	0.400346185932787	0.379747444333555	0.347615530062249	0.454236910660609	0.407605978797485	0.445814956195447	0.423428001543327	0.440095268925791
